Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL1956709,,None,700.58,3,7.22,35,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(c2ccc(C(F)(F)F)cc2C(F)(F)F)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,GI,'=',6,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL1956710,,None,670.71,4,6.98,36,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(OCc2ccc(-c3ccccc3)cc2)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,GI,'=',30,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL1956703,,None,565.58,3,4.58,29,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(c2cccnc2)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,IC50,'=',6300,nM,5.2,,,UO_0000065,,,,,0,CHEMBL1958661,Cytotoxicity against human Calu1 cells after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL213805,,None,354.45,1,5.15,CA224,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccccc2)cc1,Activity,'=',30,%,,,,UO_0000187,,,,,0,CHEMBL871062,Cell cycle arrest in serum-starved Calu1 cells by accumulation at G2/M phase after 24 hrs by FACS analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1138971,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308031,,,
CHEMBL2234293,,None,453.58,1,6.04,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4066819,,None,430.51,0,2.63,52h,COCCNC(=O)c1ccc(Oc2sc(C(N)=O)c3c2-c2sncc2CC3)cn1,GI50,'=',0.43,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4029562,Growth inhibition of human Calu1 cells after 196 hrs by CellTiter-Glo luminescence assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4028808,1,Scientific Literature,Bioorg Med Chem,2017,CHEMBL3308031,,,
CHEMBL451217,,None,600.71,3,6.43,11,CC(C)CC(=O)c1c(O)c(Cc2c(O)c(C(=O)CC(C)C)c(O)c(C(=O)CC(C)C)c2O)c(O)c(C(=O)CC(C)C)c1O,GI,'=',7,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL1956703,,None,565.58,3,4.58,29,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C(c2cccnc2)c2c(O)c(C=O)c(O)c(C(=O)CC(C)C)c2O)c1O,GI,'=',66,%,,,,UO_0000187,,,,,0,CHEMBL1960823,Growth inhibition of human Calu1 cells at 10 uM after 48 hrs by WST-8 assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL1955790,1,Scientific Literature,Bioorg Med Chem Lett,2012,CHEMBL3308031,,,
CHEMBL4292592,,None,336.64,None,None,3,O=C(Nc1ccc(Cl)cc1)c1ccc2n[se]nc2c1,Activity,'=',81.3,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4281356,,None,358.3,None,None,25,O=C(NCCCCc1ccccc1)c1ccc2n[se]nc2c1,Activity,'=',98.1,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4278972,,None,316.22,None,None,20,O=C(NCc1ccccc1)c1ccc2n[se]nc2c1,Activity,'=',23.6,%,,,,UO_0000187,,,,,0,CHEMBL4273904,Growth inhibition of human HTB-54 cells assessed as cell growth at 100 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL51085,EBSELEN,3,274.18,None,None,EBS,O=c1c2ccccc2[se]n1-c1ccccc1,GI50,'=',68600,nM,,,,UO_0000065,,,,,0,CHEMBL4273895,Antiproliferative activity against human HTB-54 cells after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4288515,,None,308.24,None,None,12,O=C(NC1CCCCC1)c1ccc2n[se]nc2c1,Activity,'=',56.1,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL4289647,,None,359.27,None,None,19,O=C(Nc1nc2ccccc2s1)c1ccc2n[se]nc2c1,Activity,'=',26.7,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
CHEMBL44657,ETOPOSIDE,4,588.56,2,1.34,Etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,GI50,,,,,,Not Determined,,,,,,0,CHEMBL4256281,Cytotoxicity against human HTB-54 cells assessed as growth inhibition after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251731,1,Scientific Literature,ACS Med Chem Lett,2018,CHEMBL3308031,,,
CHEMBL4279661,,None,874.53,None,None,13,O=C(NC(=[Se])Nc1ccc([Se][Se]c2ccc(NC(=[Se])NC(=O)c3cc4ccccc4s3)cc2)cc1)c1cc2ccccc2s1,GI50,'=',22580,nM,,,,UO_0000065,,,,,0,CHEMBL4256281,Cytotoxicity against human HTB-54 cells assessed as growth inhibition after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251731,1,Scientific Literature,ACS Med Chem Lett,2018,CHEMBL3308031,,,
CHEMBL4282091,,None,762.35,None,None,1,O=C(NC(=[Se])Nc1ccc([Se][Se]c2ccc(NC(=[Se])NC(=O)c3ccccc3)cc2)cc1)c1ccccc1,GI50,'=',24780,nM,,,,UO_0000065,,,,,0,CHEMBL4256281,Cytotoxicity against human HTB-54 cells assessed as growth inhibition after 72 hrs by MTT assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4251731,1,Scientific Literature,ACS Med Chem Lett,2018,CHEMBL3308031,,,
CHEMBL213805,,None,354.45,1,5.15,CA224,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccccc2)cc1,Activity,,,,,,Active,,,,,,0,CHEMBL853444,Inhibition of Cdk4-mediated phosphorylation of pRB in Calu1 cells at ser 795 residue at 6.2 uM after 24 hrs by Western blot analysis,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1138971,1,Scientific Literature,Bioorg Med Chem Lett,2006,CHEMBL3308031,,,
CHEMBL91867,,None,381.23,0,4.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL211632,,None,306.75,0,3.14,Fascaplysin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4277859,,None,254.15,None,None,11,CCNC(=O)c1ccc2n[se]nc2c1,Activity,'=',85.4,%,,,,UO_0000187,,,,,0,CHEMBL4273903,Growth inhibition of human HTB-54 cells assessed as cell growth at 10 uM after 72 hrs by MTT assay relative to control,F,BAO_0000219,cell-based format,Homo sapiens,None,None,Calu-1,None,,,,CHEMBL613505,Calu-1,Homo sapiens,CELL-LINE,CHEMBL4270585,1,Scientific Literature,Eur J Med Chem,2018,CHEMBL3308031,,,
